1,162
2,11
3,122
4,14
5,6
6,6
7,7
8,140
9,10
10,279
11,264
12,82
13,272
14,225
15,134
16,795
17,169
18,193
19,5
20,20
21,142
22,9
23,359
26,13
27,225
28,416
29,225
30,418
31,418
32,278
33,62
34,19
35,227
36,600
37,11
38,83
39,680
40,680
41,27
42,4
43,157
44,61
45,82
46,258
47,745
48,271
49,648
50,225
51,24
52,601
53,145
54,278
55,28
56,533
57,35
58,418
59,526
60,73
61,169
62,169
63,21
64,21
65,21
66,56
67,56
68,224
69,224
70,82
71,413
72,62
73,382
74,62
75,227
76,157
77,279
78,45
79,696
80,276
81,62
82,732
83,156
84,8
85,699
86,82
87,83
88,532
89,532
90,536
91,797
92,5
93,210
94,681
95,832
96,352
97,19
98,258
99,82
100,82
101,472
102,24
103,150
104,265
105,418
106,170
107,84
108,148
109,192
110,443
113,73
114,6
115,685
116,82
117,83
118,137
120,188
121,170
122,639
123,227
124,62
125,200
126,459
127,636
128,667
129,637
130,108
131,236
132,279
133,19
134,82
135,225
136,676
137,615
138,615
139,615
140,600
141,360
142,201
143,413
144,373
145,327
146,140
147,328
148,103
149,103
150,83
151,373
152,53
153,169
154,5
155,691
157,10
158,775
159,352
160,62
161,19
162,352
164,791
165,35
166,35
167,101
168,627
169,193
170,775
171,8
172,416
173,600
174,19
175,272
176,228
177,549
178,549
179,396
180,216
181,483
184,25
185,25
186,680
187,169
188,169
189,358
190,216
191,10
192,58
193,58
194,169
195,82
196,396
197,210
198,19
199,5
200,84
201,225
202,83
203,35
204,228
205,170
206,9
207,169
208,84
209,19
213,278
214,383
215,51
216,196
217,387
218,82
219,169
220,832
221,51
222,227
223,375
224,227
225,227
226,19
227,472
228,108
229,883
230,108
231,84
232,200
233,108
234,9
235,148
236,84
237,192
238,10
239,9
240,13
241,117
242,117
243,656
244,35
245,106
246,692
247,694
248,694
249,694
250,84
251,351
252,88
253,553
254,13
255,107
256,62
257,307
258,194
259,804
260,241
261,241
262,421
263,472
264,472
265,82
266,803
267,83
268,117
269,117
270,360
271,84
275,374
276,193
277,88
278,88
279,705
280,558
281,129
282,4
283,644
284,82
285,113
286,279
287,227
289,272
290,51
291,680
292,680
293,909
294,278
295,192
296,14
297,5
298,61
299,416
300,352
303,686
304,177
305,61
306,62
307,726
308,726
309,129
310,82
311,82
312,83
313,7
314,13
315,10
316,188
317,595
318,156
319,193
320,62
323,396
325,217
326,138
327,169
328,84
329,9
330,849
331,453
332,237
333,106
334,171
336,382
337,382
338,344
339,32
340,272
341,627
342,8
343,526
344,28
345,108
346,84
347,680
348,680
349,225
350,456
351,5
352,472
353,472
354,161
355,192
356,321
357,13
358,627
359,88
360,12
361,12
362,124
363,278
364,128
365,265
366,123
367,192
368,47
369,61
370,12
371,169
372,287
373,124
374,140
375,84
376,671
377,671
378,82
379,272
380,721
381,5
382,5
383,120
384,84
385,170
386,169
387,278
388,698
389,677
391,797
392,552
393,373
394,279
395,1049
396,82
397,9
398,45
399,28
400,14
403,38
405,193
406,279
407,839
408,840
409,840
410,840
411,841
414,652
415,111
416,287
421,856
422,169
423,352
424,719
425,10
426,151
427,91
429,169
430,265
431,265
432,88
433,111
434,600
435,118
438,326
439,326
440,140
441,600
442,872
443,677
444,805
445,674
446,698
447,88
448,140
449,161
450,258
451,35
452,19
456,4
457,5
459,113
460,272
462,536
463,536
468,19
469,357
470,358
471,358
472,82
473,83
474,53
475,53
476,53
477,472
478,676
479,258
480,344
481,32
482,138
483,138
484,139
485,139
486,136
487,136
488,136
490,5
491,20
492,28
493,344
495,196
496,558
497,558
498,558
499,558
500,912
501,914
502,916
503,169
504,396
505,396
506,418
507,418
508,418
509,418
510,627
511,5
512,84
513,84
514,10
515,10
516,25
517,62
518,19
519,50
522,225
524,286
525,6
529,108
530,12
531,169
533,108
534,140
536,53
537,53
538,53
539,53
540,53
541,53
542,53
543,108
544,108
545,9
546,9
549,53
550,73
551,73
552,20
553,20
554,526
555,138
556,136
557,136
569,51
570,51
571,802
577,88
578,88
579,536
580,536
581,113
582,663
585,639
586,193
587,708
588,6
589,188
590,85
591,9
592,9
593,9
594,10
595,19
596,699
597,790
598,790
599,108
600,108
601,37
602,38
614,6
616,19
620,698
621,272
623,88
624,188
625,188
630,526
631,988
632,279
638,373
639,296
640,960
641,1008
642,1009
643,1009
645,251
646,220
647,155
648,53
649,53
650,472
651,472
652,62
653,82
654,416
655,545
656,546
657,962
658,1011
659,113
660,664
661,664
662,624
668,169
669,1015
670,1015
671,1015
672,1015
673,1015
674,1016
675,1018
676,1018
677,15
678,68
679,169
686,326
688,1046
689,1048
